Airports,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov ,Dec,YearNo,Airports1,Name2
LUDHIANA,1013,1737,1880,1417,1281,1048,1302,1826,1881,1533,1956,1551,2018,LUDHIANA,
VIJAYANAGAR,0,0,0,5882,6282,6121,6296,6489,6637,6885,6500,6643,2018,VIJAYANAGAR,
JORHAT,6743,6571,6840,7978,8467,9673,9532,10919,12035,15435,15658,20998,2018,JORHAT,
KANNUR(KIAL),0,0,0,0,0,0,0,0,0,0,0,16005,2018,KANNUR,KIAL)
CHANDIGARH  (JV AIRPORT),132535,0,0,0,0,0,0,0,0,0,0,0,2018,CHANDIGARH,JV AIRPORT)
BELGAUM,17363,15531,17689,19620,9177,3349,3349,3672,4961,4836,5047,5402,2018,BELGAUM,
NANDED,8738,8435,8788,8499,8960,9029,8756,8862,9264,8706,9845,11404,2018,NANDED,
PORTBLAIR,185688,152928,175958,164137,182063,132569,90016,95607,124218,150336,160100,179856,2018,PORTBLAIR,
PATHANKOT,0,0,0,864,1196,886,1030,997,1049,1195,1171,966,2018,PATHANKOT,
AGRA,2089,2195,1496,929,551,687,864,1186,1682,2377,2687,2637,2018,AGRA,
DIBRUGARH,29583,26688,29220,29218,29345,28430,29972,27676,29472,30881,30919,33190,2018,DIBRUGARH,
RAIPUR,155911,155903,169724,167934,175103,167523,164846,159833,161112,164264,163378,193888,2018,RAIPUR,
BHUNTAR,1834,1998,4324,2788,2626,3065,1953,1772,2373,2429,2318,1867,2018,BHUNTAR,
INDORE,200975,194248,219790,235389,228874,223112,248551,254140,266551,269223,268608,315556,2018,INDORE,
LENGPUI(AIZWAL),23702,22119,25352,19789,20003,19714,19860,19446,19336,19816,20439,21826,2018,LENGPUI,AIZWAL)
JODHPUR,48137,48030,43226,35137,33430,32737,30975,33314,38596,44241,49895,57182,2018,JODHPUR,
BIKANER,3594,3373,3732,5529,4148,3811,4918,5188,5055,5533,5429,4690,2018,BIKANER,
TIRUPATI,53826,53826,74524,71523,68803,69165,76666,74224,69702,62591,66189,70997,2018,TIRUPATI,
SHIMLA,1040,1204,984,1117,1412,926,467,424,0,533,599,1079,2018,SHIMLA,
PANTNAGAR,366,1163,1212,1341,2412,1235,1176,746,0,1116,1223,889,2018,PANTNAGAR,
TEZPUR,748,714,751,757,1971,1673,181,159,0,193,273,279,2018,TEZPUR,
AGARTALA,129328,113340,134374,0,138024,131243,133252,126510,105874,113996,101579,116749,2018,AGARTALA,
CHENNAI,1381653,1288017,1386793,1354180,1468773,1331082,1422726,1364769,1384777,1408338,1294069,1487727,2018,CHENNAI,
RAJKOT,34863,32362,32876,29132,29177,28748,28409,29153,28277,30427,27015,28883,2018,RAJKOT,
DEHRADUN,98171,104689,109649,104661,119283,100509,93973,88290,95470,107041,103173,107027,2018,DEHRADUN,
JAMMU,131116,123810,127826,108116,107499,100799,102588,107031,109212,111665,115650,127415,2018,JAMMU,
NASIK,0,0,0,146,0,0,0,0,3314,0,0,0,2018,NASIK,
CUDDAPAH,4927,5064,8709,8799,9894,9560,9175,9488,9039,10431,9276,10132,2018,CUDDAPAH,
MUMBAI (MIAL),3129079,0,0,0,0,0,0,0,2847387,0,0,0,2018,MUMBAI,MIAL)
SHOLAPUR,0,0,0,0,4,0,0,0,0,0,0,0,2018,SHOLAPUR,
TRICHY,14243,12640,13879,19758,20515,27362,35325,32156,35528,28895,23821,26773,2018,TRICHY,
LAKHIMPUR (LILABARI),0,0,0,1035,906,869,790,832,0,745,603,570,2018,LAKHIMPUR,LILABARI)
KOLHAPUR,0,0,8,165,453,269,21,282,0,0,0,2799,2018,KOLHAPUR,
DURGAPUR,0,0,0,2265,3492,3451,2941,3241,3330,3669,4076,4086,2018,DURGAPUR,
NASIK (HAL OZAR),0,0,0,0,221,1865,2934,4140,0,3568,3271,3532,2018,NASIK,HAL OZAR)
DELHI (DIAL),4238135,0,0,0,0,0,0,0,4174874,0,0,0,2018,DELHI,DIAL)
BAGDOGRA,198923,182994,213672,222006,253399,251607,217320,204728,213708,254818,259535,262361,2018,BAGDOGRA,
LUCKNOW,401778,383910,412374,397011,377011,381924,380765,376217,372127,411536,367421,418501,2018,LUCKNOW,
HUBLI,7400,6125,7197,6175,15410,23392,44067,40871,43826,47137,50253,50045,2018,HUBLI,
SRINAGAR,202350,187791,212604,230200,239914,237312,247733,228406,230331,215200,211364,232847,2018,SRINAGAR,
BHATINDA,1017,1468,4594,4203,4001,3844,3672,2970,3297,3479,2573,2874,2018,BHATINDA,
HYDERABAD,0,1277628,1370234,1383381,1420081,1346233,1449387,1397785,0,1492375,1403883,1586235,2018,HYDERABAD,
VADODARA,93590,86298,91328,89847,90627,84389,85484,77922,86319,91676,107467,117556,2018,VADODARA,
PONDICHERRY,0,0,0,7798,8627,7768,7335,8006,7252,7066,5078,7313,2018,PONDICHERRY,
CHANDIGARH,0,63204,163732,151967,56440,153714,181914,193354,195517,200293,183223,170879,2018,CHANDIGARH,
NAGPUR (MIPL),201769,0,0,0,0,0,0,0,214009,0,0,0,2018,NAGPUR,MIPL)
BHAVNAGAR,3449,4318,4035,4179,4392,4012,3818,3520,3822,3354,4320,3905,2018,BHAVNAGAR,
MYSORE,0,0,0,3598,4187,3485,3845,3606,3350,4518,3306,3652,2018,MYSORE,
JAIPUR,415045,406340,359311,368067,362145,376525,410243,402433,411496,419130,396142,445431,2018,JAIPUR,
JAGDALPUR,0,0,0,0,0,432,164,44,0,6,0,0,2018,JAGDALPUR,
CALICUT,43724,41911,42266,55834,58681,42770,55458,71268,54046,46918,54137,55788,2018,CALICUT,
AHMEDABAD,715862,658875,586048,638968,735481,699360,741035,714728,753265,742680,782257,817025,2018,AHMEDABAD,
KOTA,0,0,0,69,11,2,0,1,0,22,0,7,2018,KOTA,
NAGPUR,0,183324,202209,212213,215845,203575,209340,210844,0,216589,250097,268353,2018,NAGPUR,
ADAMPUR,0,0,0,0,0,0,0,0,4198,0,0,0,2018,ADAMPUR,
GOA,639048,572322,614565,602367,610800,589919,575115,591140,615470,637506,681499,725831,2018,GOA,
SURAT,60804,63291,65373,63369,67159,70751,70610,88396,87478,107132,133344,147091,2018,SURAT,
DIMAPUR,17006,14267,16568,17536,17478,17285,18325,16041,15185,15012,15030,17079,2018,DIMAPUR,
SILCHAR,37127,32926,33864,31821,29886,28647,35956,29368,30404,36132,33794,36550,2018,SILCHAR,
AGATTI,4001,3056,3373,3605,3096,2666,2688,2024,2470,3209,3695,4252,2018,AGATTI,
PAKYONG,0,0,0,0,0,0,0,0,0,2771,3130,4106,2018,PAKYONG,
BHUJ,18122,17073,16589,15633,15330,13510,13728,13359,13623,16442,18185,19241,2018,BHUJ,
KANPUR(Chakeri),0,17,0,0,18,80,4020,4042,4036,10888,22802,25510,2018,KANPUR,Chakeri)
GUWAHATI,398969,373038,428513,449585,456770,447046,484909,420105,427733,503705,490006,552958,2018,GUWAHATI,
ALLAHABAD,3644,3713,3710,3635,4040,6866,7865,11067,7474,7992,12692,18536,2018,ALLAHABAD,
JUHU,13390,12530,13908,13166,12564,11400,11845,11724,11962,12312,11666,12724,2018,JUHU,
GAYA,6906,5839,8529,0,4704,4614,4822,5456,5709,6506,5557,6483,2018,GAYA,
KANDLA,0,0,0,3761,3998,3765,4003,4056,4149,4134,4436,4497,2018,KANDLA,
KOLKATA,1699005,1539124,1630139,1523407,1572344,1590278,1573876,1519913,1492883,1741150,1756556,1794579,2019,KOLKATA,
GORAKHPUR,28079,30511,33904,42198,67590,70297,58260,48170,57735,63851,62692,57055,2019,GORAKHPUR,
AMRITSAR,168627,148219,158600,133326,131517,138259,130063,125861,110707,137652,149020,173781,2019,AMRITSAR,
SALEM,3644,3125,3337,3260,3444,3290,3096,3093,2801,3031,3037,3274,2019,SALEM,
IMPHAL,121461,95341,111434,105914,116195,114559,121419,112132,103362,115584,107065,104607,2019,IMPHAL,
PORBANDAR,6617,4412,4856,6001,6530,5544,6426,6032,4931,6880,7020,7342,2019,PORBANDAR,
ADAMPUR (JALANDHAR),4174,0,0,0,0,0,0,0,0,0,0,0,2019,ADAMPUR,JALANDHAR)
BHOPAL,84349,77016,82471,93423,120252,125225,116491,119381,108606,129472,111410,118855,2019,BHOPAL,
MANGALORE,119044,94294,93245,95717,113011,104959,106594,116120,102587,109792,120490,132284,2019,MANGALORE,
DELHI,4206828,3826998,3889794,3581007,3857847,0,4337904,4277039,4225477,4421886,4636673,4522659,2019,DELHI,
KHAJURAHO,6627,6129,2637,2508,1483,350,1428,2003,1914,0,5131,4831,2019,KHAJURAHO,
COIMBATORE,254612,227488,218372,198764,154768,212992,235142,232436,222616,215439,235772,267775,2019,COIMBATORE,
KISHANGARH,3523,3597,3940,7704,10663,10361,8850,11265,10521,11550,11948,11976,2019,KISHANGARH,
PATNA,297246,316555,335293,323908,385791,429181,394270,396104,352121,401720,459324,370641,2019,PATNA,
MUMBAI,2984842,2529642,2412096,2328891,2839095,0,2867461,2965436,2841489,2914226,3074219,3118558,2019,MUMBAI,
JAMNAGAR,7365,4459,4540,6724,7157,5083,3710,4539,4895,0,6582,6730,2019,JAMNAGAR,
PITHORAGARH,0,0,0,0,0,0,0,0,541,0,238,1214,2019,PITHORAGARH,
BHUBANESWAR,368728,326029,346735,328473,324546,345311,292574,281706,296175,288375,299605,306549,2019,BHUBANESWAR,
BARAPANI,0,431,397,0,1638,1542,1953,2958,2687,0,0,3062,2019,BARAPANI,
RANCHI,208672,186481,197553,178798,218697,229892,210840,209955,206790,218228,228014,217740,2019,RANCHI,
DIU,1944,1559,1601,1972,2121,1831,1592,1416,1748,2182,2467,3523,2019,DIU,
SHIRDI,41288,37188,46830,44549,47680,48717,51652,51179,49524,55720,26580,31043,2019,SHIRDI,
VARANASI,219534,243682,253449,196652,222381,223534,221735,222985,221246,227163,289044,247205,2019,VARANASI,
MUNDRA,0,37,0,0,127,282,410,248,159,133,317,134,2019,MUNDRA,
HINDON,0,0,0,0,0,0,0,0,0,243,0,0,2019,HINDON,
VIJAYAWADA,97979,91303,98867,94903,111134,108351,94751,124292,73896,93686,91568,95215,2019,VIJAYAWADA,
BANGALORE,2603329,2236283,2445004,2319400,2492324,0,2331749,2362574,2237442,2385204,2481058,2542865,2019,BANGALORE,
BANGALORE (BIAL),0,0,0,0,0,2348284,0,0,0,0,0,0,2019,BANGALORE,BIAL)
PUNE,759074,692477,696476,678370,552195,687661,707762,698106,672484,671104,697456,731770,2019,PUNE,
MADURAI,97344,80038,85333,83272,93340,93296,97448,96528,93560,87178,90661,85891,2019,MADURAI,
GWALIOR,2023,1931,2034,2114,7803,10965,12819,13103,10633,0,12743,13736,2019,GWALIOR,
BARAPANI (SHILLONG),904,0,0,0,0,0,0,0,0,0,0,0,2019,BARAPANI,SHILLONG)
HYDERABAD (GHIAL),0,0,0,0,0,1487112,0,0,0,0,0,0,2019,HYDERABAD,GHIAL)
LEH,45001,42081,45515,58837,89042,94710,87471,85678,79953,64324,42354,41335,2019,LEH,
JALGAON,12,20,0,0,5,0,14,0,2622,0,2486,2149,2019,JALGAON,
TRIVANDRUM,158654,133184,125184,131312,137152,130631,132176,143362,142486,133949,152152,190127,2019,TRIVANDRUM,
JAISALMER,27240,22697,15983,5894,6517,5769,7752,11291,10663,13674,25542,28843,2019,JAISALMER,
GUGGAL(KANGRA),8535,0,0,0,0,0,0,0,0,0,0,0,2019,GUGGAL,KANGRA)
COCHIN(CIAL),542525,451789,442148,441879,502750,463318,409772,403181,452375,423261,406863,416618,2019,COCHIN,CIAL)
TUTICORIN,17861,16130,16807,19121,20491,18346,19054,20344,19009,18839,21923,23473,2019,TUTICORIN,
AURANGABAD,33150,25750,22447,17741,18296,17314,16983,15120,15060,21868,38139,62027,2019,AURANGABAD,
LAKHIMPUR,0,1384,1496,2505,2513,1490,1070,1070,1515,1705,1775,1637,2019,LAKHIMPUR,
JABALPUR,24038,24422,28264,30310,33655,33057,28557,17497,18660,27984,30336,25537,2019,JABALPUR,
RAJAHMUNDRY,27241,26497,29687,27971,31719,32173,32669,31488,30768,37886,39170,40187,2019,RAJAHMUNDRY,
VISAKHAPATNAM,237926,212507,218905,203964,252328,228473,207388,192784,191513,207935,228932,243710,2019,VISAKHAPATNAM,
UDAIPUR,152632,133715,115260,89111,95722,97452,93211,94410,85571,95989,129240,133211,2019,UDAIPUR,
LUDHIANA,1330,1272,1522,1635,1469,1643,1850,1480,1500,1622,1125,967,2019,LUDHIANA,
VIJAYANAGAR,6478,5946,5818,5721,5924,6353,6235,6133,4533,5016,6113,6535,2019,VIJAYANAGAR,
JORHAT,19934,11878,9931,10221,10277,10754,10365,9342,9067,10497,14131,16143,2019,JORHAT,
KANNUR(KIAL),30917,41174,47079,81036,86248,72893,73351,79592,67295,70503,64084,57547,2019,KANNUR,KIAL)
BELGAUM,5203,3932,5493,4880,12967,14266,19180,21175,21339,26624,29640,32571,2019,BELGAUM,
NANDED,12505,11031,11387,11380,11018,12908,10580,11873,9310,0,11014,13502,2019,NANDED,
PORTBLAIR,164428,118007,150544,145354,158971,128785,96484,108854,127355,154124,154990,167597,2019,PORTBLAIR,
PATHANKOT,1075,774,1038,1222,1156,1505,901,1024,936,1158,1082,773,2019,PATHANKOT,
AGRA,2845,2766,2527,1961,1589,954,536,1703,1796,0,0,821,2019,AGRA,
PASIGHAT,0,0,0,0,37,18,27,72,89,113,181,359,2019,PASIGHAT,
DIBRUGARH,33992,31952,32882,38055,37777,39658,47448,40496,39914,52202,50718,48194,2019,DIBRUGARH,
RAIPUR,192377,156286,162004,164867,190896,180206,169991,169307,157467,182410,197829,201842,2019,RAIPUR,
BHUNTAR,2005,1760,2955,2943,3048,2829,2006,1633,1811,2634,2060,2430,2019,BHUNTAR,
INDORE,305061,274698,269175,230821,252131,233415,227494,226396,224737,228475,258397,276007,2019,INDORE,
LENGPUI(AIZWAL),21077,14916,9364,10913,12173,10990,12519,12178,11127,16168,25083,26136,2019,LENGPUI,AIZWAL)
JODHPUR,54818,51505,44996,20965,18954,17555,7671,13965,32069,47708,79560,91406,2019,JODHPUR,
BIKANER,5375,5159,4870,5263,4949,1600,3366,4879,5273,4904,3006,3160,2019,BIKANER,
TIRUPATI,68924,67934,67934,72711,79517,82309,73424,68589,62812,62445,70774,75046,2019,TIRUPATI,
SHIMLA,420,679,526,0,1075,975,981,263,487,1330,653,1226,2019,SHIMLA,
PANTNAGAR,1800,1381,2500,1795,2381,4694,1700,1807,1918,3121,2468,2054,2019,PANTNAGAR,
TEZPUR,286,332,333,0,390,454,334,271,299,379,310,371,2019,TEZPUR,
AGARTALA,117423,102773,114345,106262,120895,124156,126496,127288,119518,127378,145071,145363,2019,AGARTALA,
CHENNAI,1468050,1368146,1248693,1236864,1412599,1400670,1428539,1421479,1374679,1379897,1487523,1545835,2019,CHENNAI,
RAJKOT,29078,24278,21491,12896,14059,12640,9611,13041,14477,19409,27826,28795,2019,RAJKOT,
DEHRADUN,100121,102679,117946,102792,110377,120932,106784,98487,105422,118482,118767,124394,2019,DEHRADUN,
JAMMU,115834,107449,121055,116126,126424,133234,127860,108229,120027,123245,135940,116776,2019,JAMMU,
GAGGAL(KANGRA),0,7352,10415,16205,17327,17013,13362,13650,14236,0,0,9838,2019,GAGGAL,KANGRA)
NASIK,0,9049,8015,8785,8261,7487,7520,8144,6559,6437,9911,11934,2019,NASIK,
CUDDAPAH,9564,8065,8706,9229,9997,9314,9091,9328,7691,8833,9212,10155,2019,CUDDAPAH,
MUMBAI (MIAL),0,0,0,0,0,2891923,0,0,0,0,0,0,2019,MUMBAI,MIAL)
SHOLAPUR,4,0,7,0,0,0,0,0,0,0,0,0,2019,SHOLAPUR,
TRICHY,27477,24791,25657,24007,24959,24561,25271,23703,22799,21582,23994,26539,2019,TRICHY,
LAKHIMPUR (LILABARI),1228,0,0,0,0,0,0,0,0,0,0,0,2019,LAKHIMPUR,LILABARI)
KOLHAPUR,4661,4261,4367,4889,9693,12334,11009,10501,12663,12614,13317,10746,2019,KOLHAPUR,
DURGAPUR,3991,4472,6695,5589,7427,7569,10611,9720,9311,15150,20487,23460,2019,DURGAPUR,
NASIK (HAL OZAR),3456,0,0,0,0,0,0,0,0,0,0,0,2019,NASIK,HAL OZAR)
DELHI (DIAL),0,0,0,0,0,4032767,0,0,0,0,0,0,2019,DELHI,DIAL)
PRAYAGRAJ,0,0,0,16814,25319,33078,32613,34710,32829,0,0,38776,2019,PRAYAGRAJ,
BAGDOGRA,252639,224817,259165,244969,303128,300092,270419,250894,250507,300037,284824,287492,2019,BAGDOGRA,
LUCKNOW,403912,408335,402361,374932,409354,404641,387815,391642,375666,431442,436965,415019,2019,LUCKNOW,
HUBLI,50113,45101,44072,49517,54926,45973,37757,24583,36266,39701,37762,41984,2019,HUBLI,
SRINAGAR,206309,211296,233739,255325,273694,286747,271921,213729,228301,242233,220956,171942,2019,SRINAGAR,
BHATINDA,3093,1536,2372,3115,3032,3826,3339,2280,2389,1747,955,1008,2019,BHATINDA,
HYDERABAD,1555455,1460094,1512239,1460332,1587978,0,1486539,1481202,1323290,1561707,1638936,1687237,2019,HYDERABAD,
VADODARA,122923,108637,92869,76415,90285,85856,85028,84433,89350,98348,105045,108994,2019,VADODARA,
PONDICHERRY,7578,5658,7267,6274,6826,6371,5017,2975,3558,6201,5579,7426,2019,PONDICHERRY,
CHANDIGARH,162518,151513,170813,182841,190838,176164,185821,178081,192267,203241,222798,204292,2019,CHANDIGARH,
NAGPUR (MIPL),0,0,0,0,0,265401,0,0,0,0,0,0,2019,NAGPUR,MIPL)
JHARSUGUDA,0,0,0,10507,13126,19551,16036,18196,17794,21842,20472,22035,2019,JHARSUGUDA,
BHAVNAGAR,4091,3700,3570,3534,3655,3103,3201,3767,3472,3753,3979,4172,2019,BHAVNAGAR,
MYSORE,3603,3283,3305,3284,3644,4775,8940,13659,13983,15788,17071,18847,2019,MYSORE,
JAIPUR,461208,404937,408985,341685,363494,374707,355879,358661,358736,390731,435824,428833,2019,JAIPUR,
JAGDALPUR,0,0,0,0,12,32,2,54,41,40,36,18,2019,JAGDALPUR,
CALICUT,46756,36370,34546,46705,48332,46303,47496,47523,44166,38225,44664,49848,2019,CALICUT,
AHMEDABAD,846643,786402,768577,693015,778258,746265,752589,760381,720228,757703,857384,844314,2019,AHMEDABAD,
KOTA,0,6,5,0,0,0,0,0,0,0,0,0,2019,KOTA,
NAGPUR,263607,223071,208696,210777,272484,0,248035,243228,241207,248988,267770,270099,2019,NAGPUR,
ADAMPUR,0,3725,4074,4053,3467,4202,3891,4376,4145,4730,4884,4885,2019,ADAMPUR,
GOA,730395,656742,668797,619588,655588,632929,613030,640482,621771,640500,694102,715293,2019,GOA,
SURAT,140548,129481,130481,131732,151031,134471,126648,121160,100232,117414,140744,129124,2019,SURAT,
DIMAPUR,16452,13239,14860,14736,15327,15258,17629,14503,14106,0,15711,20105,2019,DIMAPUR,
SILCHAR,36843,28413,28851,26277,25890,29157,31542,30124,32259,40988,37636,40689,2019,SILCHAR,
AGATTI,4191,3321,3124,3050,2870,3756,2966,2619,3754,0,0,3774,2019,AGATTI,
PAKYONG,5754,2085,1117,2363,1386,0,0,0,0,0,0,0,2019,PAKYONG,
BHUJ,19473,13752,6118,2269,2172,1911,1919,2084,2109,2482,3553,3572,2019,BHUJ,
KANPUR(Chakeri),24709,20063,18198,14541,15071,22404,16881,18481,12859,0,23757,23476,2019,KANPUR,Chakeri)
GUWAHATI,544731,456492,480521,467107,490805,490032,500799,445573,410791,488033,486927,443334,2019,GUWAHATI,
ALLAHABAD,31352,36677,26595,0,0,0,0,0,0,0,0,0,2019,ALLAHABAD,
JUHU,13292,11872,13184,12406,12936,13868,12860,13024,12990,13586,14482,13812,2019,JUHU,
GAYA,5281,4390,6358,3202,2569,3590,2187,8858,9711,10697,12570,12795,2019,GAYA,
KANDLA,4234,2518,2787,4190,5791,6405,6705,6915,6936,7480,7903,10160,2019,KANDLA,
