Airports,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov ,Dec,YearNo,Airports1,Name2
JODHPUR,23256,25358,18776,19774,16422,17359,15970,16223,16623,20082,25954,28933,2012,JODHPUR,
RANCHI,43081,42989,41144,42266,38146,40452,35063,32180,30006,36878,40628,45444,2012,RANCHI,
BHOPAL,43581,41394,41513,43088,44393,44534,37675,37479,34647,36042,35829,46896,2012,BHOPAL,
GOA,305219,279486,253103,241844,231610,210147,174373,201279,196053,227404,251359,285506,2012,GOA,
TRICHY,14617,14026,11842,12261,11195,7797,7470,7715,6590,6486,6250,6939,2012,TRICHY,
AGARTALA,0,0,0,62917,73401,66129,66916,63326,57547,67408,70734,78405,2012,AGARTALA,
UDAIPUR,45457,44354,36284,25431,21881,22790,22616,25749,24097,29363,34765,38308,2012,UDAIPUR,
RAIPUR,78285,71475,61900,75173,85400,66193,63291,54913,54442,59629,71436,74510,2012,RAIPUR,
NAGPUR,117434,105873,100332,0,0,0,0,0,0,0,0,0,2012,NAGPUR,
HYDERABAD (GHIAL),527323,508381,517762,508895,561891,498992,508085,581018,477732,507916,490456,559722,2013,HYDERABAD,GHIAL)
DIBRUGARH,19754,16675,19149,19269,21931,20437,21076,20544,17337,20637,19491,20497,2013,DIBRUGARH,
INDORE,99193,93210,93159,87762,100174,89916,87730,97492,81275,85354,90440,105223,2013,INDORE,
DELHI (DIAL),1868512,1864421,2062026,2004892,2229176,2077189,1954016,1962946,1745344,1998954,2050418,2129344,2013,DELHI,DIAL)
LEH,16152,16044,22368,27413,38866,40454,37144,35819,28259,21736,18071,20626,2013,LEH,
PORTBLAIR,76021,69005,71527,70777,76060,61763,35248,42705,47385,66641,62235,79641,2013,PORTBLAIR,
KOLKATA,708781,673915,664374,734675,748744,705545,663849,682838,648860,585399,669164,772450,2013,KOLKATA,
CALICUT,23466,20633,23714,24711,26475,23819,22309,27149,25906,22662,21599,26559,2013,CALICUT,
BANGALORE (BIAL),829996,795529,813444,860803,932333,802981,829378,917538,756552,871926,851374,925303,2013,BANGALORE,BIAL)
MUMBAI (MIAL),1862373,1751411,1780159,1780940,1992150,1689259,1703153,1915069,1656203,1724398,1889104,2007117,2013,MUMBAI,MIAL)
GAYA,2972,2220,3148,294,0,0,0,0,0,2906,5639,4425,2013,GAYA,
TRIVANDRUM,92056,74097,69165,83939,90131,79886,75163,88382,80437,64209,78209,93692,2013,TRIVANDRUM,
MANGALORE,71670,64783,72835,79403,89862,69618,69024,72704,59972,64020,64068,77220,2013,MANGALORE,
CHENNAI,734087,678672,723259,695624,770140,677283,677394,732065,668006,653468,669332,764200,2013,CHENNAI,
TIRUPATI,23757,23072,25873,21149,21627,20153,24005,29166,0,0,0,0,2013,TIRUPATI,
COCHIN(CIAL),0,0,0,183921,188269,159223,144409,179477,173191,157861,188570,222377,2013,COCHIN,CIAL)
SRINAGAR,106039,114396,146305,173298,214584,238524,199124,160442,141433,178102,126294,123372,2013,SRINAGAR,
GUWAHATI,185769,162031,162577,181492,186893,187480,198291,175191,146452,202161,174274,209276,2013,GUWAHATI,
VISAKHAPATNAM,90103,78201,75414,69963,90612,81428,75417,85848,61844,80957,74055,88891,2013,VISAKHAPATNAM,
BHUBANESWAR,126659,110110,123241,114042,135883,120684,107006,114577,95501,112512,96706,116866,2013,BHUBANESWAR,
COCHIN (CIAL),187347,159350,158068,0,0,0,0,0,0,0,0,0,2013,COCHIN,CIAL)
AURANGABAD,38418,37216,40092,34725,39508,36076,32600,38246,33102,33282,38957,39824,2013,AURANGABAD,
DEHRADUN,0,0,0,0,0,0,0,0,24133,28474,26526,25263,2013,DEHRADUN,
SILCHAR,19589,18326,19537,0,0,0,0,0,0,0,0,0,2013,SILCHAR,
LUCKNOW,136055,158574,136834,146990,180202,155387,147676,159010,129023,137547,180142,169205,2013,LUCKNOW,
PATNA,67693,73474,82216,85908,95443,88111,82519,87189,73190,88218,103503,85066,2013,PATNA,
NAGPUR (MIPL),107654,111900,95780,100534,127872,108870,102550,107264,87915,92269,107416,113478,2013,NAGPUR,MIPL)
JAMMU,52224,65960,77723,78401,79551,79125,63588,63830,54139,63503,71941,72571,2013,JAMMU,
COIMBATORE,112559,89539,93232,98080,113530,96679,87568,94326,92902,87615,92292,100748,2013,COIMBATORE,
VARANASI,73994,89680,84644,54058,58726,52339,45579,52835,46280,60674,75106,66645,2013,VARANASI,
CHANDIGARH,54454,83544,97682,94612,103139,94230,88181,93347,83455,92756,84486,82150,2013,CHANDIGARH,
IMPHAL,61469,49877,56181,48855,54717,57143,58881,56711,47863,51356,48038,52622,2013,IMPHAL,
JAIPUR,145599,141403,142374,128032,146597,126211,128153,135715,126698,142755,162376,170188,2013,JAIPUR,
RAJKOT,28926,25639,24198,23342,27120,21368,21696,25527,22454,24425,28676,29883,2013,RAJKOT,
AMRITSAR,55456,60891,64749,57526,54999,46855,45768,50429,0,0,0,0,2013,AMRITSAR,
BAGDOGRA,47184,40760,67570,50793,57262,79359,46792,19779,41503,53866,56922,68541,2013,BAGDOGRA,
VADODARA,62039,55445,52564,52655,63902,52804,51947,52401,48766,51170,57825,62037,2013,VADODARA,
PUNE,285970,278913,280302,285369,320239,291729,291487,312548,272190,273260,292814,326941,2013,PUNE,
AHMEDABAD,316404,295439,274671,285345,355236,277074,269969,298612,251520,260511,328030,353426,2013,AHMEDABAD,
JODHPUR,28935,28156,26618,22339,23332,20226,21698,23879,20911,24246,28126,30665,2013,JODHPUR,
MADURAI,0,0,50386,45005,50097,46237,40974,42598,39743,39820,43690,51766,2013,MADURAI,
RANCHI,39303,38472,38460,37212,43538,40043,37900,43841,37536,47066,46487,47258,2013,RANCHI,
BHOPAL,42753,43188,41901,42513,46313,42892,39434,41022,32244,30812,30627,30452,2013,BHOPAL,
GOA,304217,277846,284784,253766,258739,217457,191491,250830,233497,252646,273197,302697,2013,GOA,
TRICHY,7730,8161,8013,8439,9600,9529,10059,10582,10444,8930,9284,11023,2013,TRICHY,
AGARTALA,69880,52341,62101,59266,59266,68091,72159,73180,61385,76494,65766,75416,2013,AGARTALA,
